channel_name,channel_logos,channel_link,m3u8_link
8XM,http://ebravo.pk/classic/uploads/webtv//50ff8960ac4d9d22a190ebe93daef3a2.jpg,http://ebravo.pk/classic/webtv-163.html,http://58.65.194.14:1935/live/8XM-HD.stream/playlist.m3u8
92 News HD,http://ebravo.pk/classic/uploads/webtv//0b2ce7d8f8e23dc455fbc4e9711a2f26.jpg,http://ebravo.pk/classic/webtv-88.html,http://58.65.194.14:1935/live/92-news.stream/playlist.m3u8
A Plus,http://ebravo.pk/classic/uploads/webtv//4865e6bd1db6eeb26f1505b9a7179994.jpg,http://ebravo.pk/classic/webtv-238.html,http://58.65.194.14:1935/live/APlus.stream/playlist.m3u8
A Sports HD-1,http://ebravo.pk/classic/uploads/webtv//bc861c747227124312e4576b5967fd1e.jpg,http://ebravo.pk/classic/webtv-326.html,http://203.101.163.5:1935/live/Asport.stream/playlist.m3u8
A Sports HD-2,http://ebravo.pk/classic/uploads/webtv/Sports/6aaa82ac240afa74ba584c3d81df17df.jpg,http://ebravo.pk/classic/webtv-335.html,http://192.168.246.134:1935/live/Asport.stream/playlist.m3u8
A Sports HD-3,http://ebravo.pk/classic/uploads/webtv/Sports/53f7dbd120224fe14ebbbb0ee9b92fde.jpg,http://ebravo.pk/classic/webtv-336.html,http://192.168.246.102:1935/live/Asport.stream/playlist.m3u8
ABB Takk News,http://ebravo.pk/classic/uploads/webtv//67c1bd5254a8acdc4082b2bcc15a9aa3.jpg,http://ebravo.pk/classic/webtv-264.html,http://58.65.194.14:1935/live/ABB-Takk.stream/playlist.m3u8
AD Sports 2 HD ,http://ebravo.pk/classic/uploads/webtv//a415e45410b7b0a21e7ae65c1b359b1d.jpg,http://ebravo.pk/classic/webtv-268.html,http://58.65.194.14:1935/live/AD Sports 2 HD.stream/playlist.m3u8
AD Sports 3 HD,http://ebravo.pk/classic/uploads/webtv//b7f36f3aec9167a6195d9274ba12bcce.jpg,http://ebravo.pk/classic/webtv-298.html,http://58.65.194.14:1935/live/Fast and Funbox.stream/playlist.m3u8
AD Sports 4 HD ,http://ebravo.pk/classic/uploads/webtv//f366d39d0df3ab640c7624ffd3b6b7fa.jpg,http://ebravo.pk/classic/webtv-279.html,http://58.65.194.14:1935/live/Familymovieshd.stream/playlist.m3u8
AMC HD,http://ebravo.pk/classic/uploads/webtv//86b7e0c527755fa9bc625c78a9304e7f.jpg,http://ebravo.pk/classic/webtv-300.html,http://58.65.194.14:1935/live/OSN Series First HD.stream/playlist.m3u8
ARY  Zindagi,http://ebravo.pk/classic/uploads/webtv//8907d9b8bf77411163d9a513010de12f.jpg,http://ebravo.pk/classic/webtv-189.html,http://58.65.194.14:1935/live/ARY-Zindagi.stream/playlist.m3u8
ARY Digital,http://ebravo.pk/classic/uploads/webtv//1e8966341af358b57fc0b1a449012195.jpg,http://ebravo.pk/classic/webtv-80.html,http://58.65.194.14:1935/live/Ary-digital.stream/playlist.m3u8
ARY Musik,http://ebravo.pk/classic/uploads/webtv//fe26b5c19865345bb886a3eda2ea43df.jpg,http://ebravo.pk/classic/webtv-183.html,http://58.65.194.14:1935/live/ARY-Musik.stream/playlist.m3u8
ARY News,http://ebravo.pk/classic/uploads/webtv//262e0fe78b871e781ccb147d8d8e020e.jpg,http://ebravo.pk/classic/webtv-166.html,http://58.65.194.14:1935/live/Ary-news.stream/playlist.m3u8
ARY QTV,http://ebravo.pk/classic/uploads/webtv//1bec099903eb681c6918d8d6e72530d3.jpg,http://ebravo.pk/classic/webtv-231.html,http://58.65.194.14:1935/live/ARYQTV.stream/playlist.m3u8
ATV,http://ebravo.pk/classic/uploads/webtv//45e7dbb8dfbc274c84f255d1cdfb893c.jpg,http://ebravo.pk/classic/webtv-239.html,http://58.65.194.14:1935/live/ATV.stream/playlist.m3u8
AXN HD ,http://ebravo.pk/classic/uploads/webtv//54de0c8bbcd5937306f4a6a6ca547bc6.jpg,http://ebravo.pk/classic/webtv-307.html,http://58.65.194.14:1935/live/AXN.stream/playlist.m3u8
AXN Spin HD ,http://ebravo.pk/classic/uploads/webtv//e73b7396cac661950f169cfe3e2dbddb.jpg,http://ebravo.pk/classic/webtv-308.html,http://58.65.194.14:1935/live/AXNspinHD.stream/playlist.m3u8
Aaj Entertainment,http://ebravo.pk/classic/uploads/webtv//7aad5f38d49cf081146f0db0b4d23e4f.jpg,http://ebravo.pk/classic/webtv-207.html,http://58.65.194.14:1935/live/Aaj-Ent.stream/playlist.m3u8
Aaj News,http://ebravo.pk/classic/uploads/webtv//181117bc3f6fd71986f046bb0efad6e5.jpg,http://ebravo.pk/classic/webtv-240.html,http://58.65.194.14:1935/live/AajNews.stream/playlist.m3u8
Al Arabiya,http://ebravo.pk/classic/uploads/webtv//e118850e037680a228d33bcbf5e8ee37.jpg,http://ebravo.pk/classic/webtv-317.html,http://58.65.194.14:1935/live/Al Araybia.stream/playlist.m3u8
Al Jazeera News,http://ebravo.pk/classic/uploads/webtv//0cd0c02aadc2a6a31ec095ee40007fa4.jpg,http://ebravo.pk/classic/webtv-254.html,http://58.65.194.14:1935/live/AlJazeera.stream/playlist.m3u8
Al Quran-ul-Kareem,http://ebravo.pk/classic/uploads/webtv//e5400b96f12d6ceaa934bf4ba3fde4a4.jpg,http://ebravo.pk/classic/webtv-286.html,http://58.65.194.14:1935/live/Al-Quran-Al-Kareem.stream/playlist.m3u8
Al Sunnah HD,http://ebravo.pk/classic/uploads/webtv//2fd8f0d21daa4bae7d48a49d3a20e4f7.jpg,http://ebravo.pk/classic/webtv-319.html,http://58.65.194.14:1935/live/Al-Sunnah-HD.stream/playlist.m3u8
Apna Channel,http://ebravo.pk/classic/uploads/webtv//63347b5b7c863ad1aad3f0140e44a4c6.jpg,http://ebravo.pk/classic/webtv-289.html,http://58.65.194.14:1935/live/CBS-Reality.stream/playlist.m3u8
Arirang,http://ebravo.pk/classic/uploads/webtv//17c21f25266c92672320afc249012e82.jpg,http://ebravo.pk/classic/webtv-311.html,http://58.65.194.14:1935/live/Arirang.stream/playlist.m3u8
Arrahman Arraheem,http://ebravo.pk/classic/uploads/webtv//5df829d38bf775c66cc7787ee080b2d5.jpg,http://ebravo.pk/classic/webtv-113.html,http://58.65.194.14:1935/live/Arrehman-arreheem.stream/playlist.m3u8
BBC Brit HD,http://ebravo.pk/classic/uploads/webtv//42054aeddcaa81a50ca303ade595ed72.jpg,http://ebravo.pk/classic/webtv-316.html,http://58.65.194.14:1935/live/Crime-Investigation.stream/playlist.m3u8
BBC Earth HD ,http://ebravo.pk/classic/uploads/webtv//8cca76945519c651e13d753161ba3281.jpg,http://ebravo.pk/classic/webtv-292.html,http://58.65.194.14:1935/live/BBC Earth HD.stream/playlist.m3u8
BBC First HD,http://ebravo.pk/classic/uploads/webtv//8dcb6e619b3483feacbbe331c2ed01ad.jpg,http://ebravo.pk/classic/webtv-293.html,http://58.65.194.14:1935/live/bbcfirst.stream/playlist.m3u8
BBC World News,http://ebravo.pk/classic/uploads/webtv//2159e831486baf5187dc5a820a4641b0.jpg,http://ebravo.pk/classic/webtv-182.html,http://58.65.194.14:1935/live/BBC-world-news-HD.stream/playlist.m3u8
BOL Entertainment,http://ebravo.pk/classic/uploads/webtv//cc47f114ae91ffeb90dea1ee18fef118.jpg,http://ebravo.pk/classic/webtv-167.html,http://58.65.194.14:1935/live/BOL-Entertainment.stream/playlist.m3u8
Baby TV,http://ebravo.pk/classic/uploads/webtv//39c1a364ab17ca3daa7316a17aadd398.jpg,http://ebravo.pk/classic/webtv-276.html,http://58.65.194.14:1935/live/Baby-TV.stream/playlist.m3u8
Bein Sports 3 Max 1,http://ebravo.pk/classic/uploads/webtv//6a8253f06490dbc38e702fe7e8cd5d74.jpg,http://ebravo.pk/classic/webtv-272.html,http://192.168.246.102:1935/live/beinmax1.stream/playlist.m3u8
Bein Sports 3 Max 2,http://ebravo.pk/classic/uploads/webtv//f68b22ceffcbc2c193b166e93f194916.jpg,http://ebravo.pk/classic/webtv-339.html,http://192.168.246.134:1935/live/beinmax1.stream/playlist.m3u8
Bein Sports 3 Max 3,http://ebravo.pk/classic/uploads/webtv//be23ea54361998f87d775d82d5c0f48c.jpg,http://ebravo.pk/classic/webtv-340.html,http://203.101.163.5:1935/live/beinmax1.stream/playlist.m3u8
Bein Sports 4 MAX 1,http://ebravo.pk/classic/uploads/webtv//3824ef6c22f74b4f366b945620ea5053.jpg,http://ebravo.pk/classic/webtv-256.html,http://192.168.246.102:1935/live/beinmax2.stream/playlist.m3u8
Bein Sports 4 MAX 2,http://ebravo.pk/classic/uploads/webtv//05252ac8cd4808541e8d1c9971b4884f.jpg,http://ebravo.pk/classic/webtv-337.html,http://192.168.246.134:1935/live/beinmax2.stream/playlist.m3u8
Bein Sports 4 MAX 3,http://ebravo.pk/classic/uploads/webtv//55983bfcf37aa7b562f0abe03f8cdd7b.jpg,http://ebravo.pk/classic/webtv-338.html,http://203.101.163.5:1935/live/beinmax2.stream/playlist.m3u8
Bein Sports HD ,http://ebravo.pk/classic/uploads/webtv//2803c513f09410485c0a7e96f7311b0a.jpg,http://ebravo.pk/classic/webtv-271.html,http://58.65.194.14:1935/live/bein_sports.stream/playlist.m3u8
Bein Sports HD ,http://ebravo.pk/classic/uploads/webtv//e2a96a6a61d69fa3c1e905ff2da46907.jpg,http://ebravo.pk/classic/webtv-274.html,http://58.65.194.14:1935/live/ZooMooHD.stream/playlist.m3u8
Bein Sports HD 1,http://ebravo.pk/classic/uploads/webtv//b707bf7550dfe89e5ab2b83b7395e008.jpg,http://ebravo.pk/classic/webtv-257.html,http://58.65.194.14:1935/live/trace sports HD.stream/playlist.m3u8
Bein Sports HD 3,http://ebravo.pk/classic/uploads/webtv//39e30636d09d060c48f2eb6d6a108140.jpg,http://ebravo.pk/classic/webtv-290.html,http://58.65.194.14:1935/live/bein-sports-13.stream/playlist.m3u8
Bloomberg,http://ebravo.pk/classic/uploads/webtv//f91ce73de4c124dc1431b8a700a930e5.jpg,http://ebravo.pk/classic/webtv-320.html,http://58.65.194.14:1935/live/Bloomberg.stream/playlist.m3u8
Bol News HD,http://ebravo.pk/classic/uploads/webtv//52a139aaa1fb26438b907bb47a603c29.jpg,http://ebravo.pk/classic/webtv-159.html,http://58.65.194.14:1935/live/BOL-TV.stream/playlist.m3u8
Bravo Family,http://ebravo.pk/classic/uploads/webtv//816126bc790c96a956713baa229915ed.jpg,http://ebravo.pk/classic/webtv-104.html,http://58.65.194.14:1935/live/Bravo-Family.stream/playlist.m3u8
Bravo Islamic,http://ebravo.pk/classic/uploads/webtv//2159d3cb377d300908bcb8af219d13a6.jpg,http://ebravo.pk/classic/webtv-222.html,http://58.65.194.14:1935/live/Bravo1.stream/playlist.m3u8
Bravo Naya,http://ebravo.pk/classic/uploads/webtv//b3e23d7c30baa3ecd64a5caa6d752a2c.jpg,http://ebravo.pk/classic/webtv-221.html,http://58.65.194.14:1935/live/Bravo4.stream/playlist.m3u8
Bravo Now,http://ebravo.pk/classic/uploads/webtv//d577d94287bb0574b81ebd06be4dc531.jpg,http://ebravo.pk/classic/webtv-77.html,http://58.65.194.14:1935/live/Bravo-now.stream/playlist.m3u8
Bravo Sub Rung,http://ebravo.pk/classic/uploads/webtv//3456d479d89cc84b5e97d7c1fdb1ed2e.jpg,http://ebravo.pk/classic/webtv-146.html,http://58.65.194.14:1935/live/Bravo_sub_rung.stream/playlist.m3u8
CBS Europa ,http://ebravo.pk/classic/uploads/webtv//8b106d36900079026478e2442a6ca2a0.jpg,http://ebravo.pk/classic/webtv-288.html,http://58.65.194.14:1935/live/cbseuropa.stream/playlist.m3u8
CBS Reality,http://ebravo.pk/classic/uploads/webtv//9ff7851f06471e00b38aa47e9904da4f.jpg,http://ebravo.pk/classic/webtv-175.html,http://58.65.194.14:1935/live/Oxygene-TV.stream/playlist.m3u8
CGTN,http://ebravo.pk/classic/uploads/webtv//45dee7a8ccd9ec22cdca437df98c96fa.jpg,http://ebravo.pk/classic/webtv-321.html,http://58.65.194.14:1935/live/CGTN.stream/playlist.m3u8
